GHGRP ID,Landfill ID,Landfill Name,State,Landfill Alias,Physical Address,City,County,Zip Code,Latitude,Longitude,Composting?,Ownership Type,Landfill Owner Organization(s),Landfill Operator Organization,Year Landfill Opened,Landfill Closure Year,Current Landfill Status,Design Landfill Area (acres),Current Landfill Area (acres),Design Landfill Depth (feet),Current Landfill Depth (feet),Landfill Design Capacity (tons),Waste in Place (tons),Waste in Place Year,Annual Waste Acceptance Rate (tons per year),Annual Waste Acceptance Year,Does LF Recirculate Leachate?,Leachate Recirc Frequency (Past 10 Yrs),Permitted as RD&D LF?,LFG Generated (mmscfd),LFG Collection System In Place?,LFG Collected (mmscfd),LFG Collected Year,Percent Methane,Flares in Place?,Number of Flares,LFG Flared (mmscfd),LFG Flared Year,Number of Wells,GCCS Capacity (cfm),Passive Venting/Flaring?
,33,Valley View SLF,AL,Stevenson SLF,,Stevenson,Jackson,35772,,,No,Private,WM,WM,1979,1995,Closed,15,,,,,"752,393",,"18,241",,Unknown,Not used,No,,Yes,,,50,Yes,,,,,,Unknown
,2015,Walker County Landfill (Carbon Hill),AL,,,Jasper,Walker,,33.875,-87.2465,No,Public,"Walker County, AL","Walker County, AL",,,Closed,57,,,,,,,"3,575",,Unknown,Not used,No,,No,,,,No,,,,,,Unknown
,2009,Willow Ridge Landfill,AL,Haleyville Regional Landfill,10512 Highway 13,Haleyville,Winston,35565,34.17569,-87.60779,No,Public,Haleyville Solid Waste Disposal Authority,"Republic Services, Inc.",1983,2050,Open,265,,,,,,,"47,190",,Unknown,Not used,No,,No,,,,No,,,,,,Unknown
,11542,Ashley County Landfill,AR,,309 Ashley 438 Road,Hamburg,Ashley,71646,33.212,-91.84759,No,Public,"Ashley County, AR",,,,Open,20,,,,,,,,,Unknown,Not used,No,,No,,,,No,,,,,,Unknown
1002222,11550,Cherokee Village Landfill,AR,Cherokee Sanitary Landfill,300 Landfill Road,Cherokee Village,Fulton,72529,36.28126,-91.63128,No,Private,"Waste Connections, Inc.","Waste Connections, Inc.",1975,2041,Open,90,31.1,,,"6,490,730","3,294,151",2022,"198,190",2022,No,Not used,No,0.942,No,,,,No,,,,,,No
1005318,11544,City of Conway Landfill,AR,,4550 Highway 64 West,Conway,Faulkner,72032,35.1119,-92.5068,No,Public,"City of Conway, AR","City of Conway, AR",1991,2073,Open,125,66,,,"9,130,905","3,338,298",2022,"75,153",2022,No,Not used,No,1.33,No,,,,No,,,,,,No
1006026,2052,City of Fort Smith Landfill,AR,Fort Smith Sanitary Landfill,5900 Commerce Road,Fort Smith,Sebastian,72916,35.2926,-94.3704,No,Public,"City of Fort Smith Department of Sanitation, AR","City of Fort Smith Department of Sanitation, AR",1981,2061,Open,555,148.2,160,80,"47,823,137","10,789,360",2022,"266,596",2022,No,Not used,No,4.403,Yes,2.183,2022,55.9,Yes,1,0,2022,266,3000,No
,11547,City of Helena - West Helena Regional LF,AR,,1448 B Phillips Highway 217,West Helena,Phillips,72390,34.56726,-90.629,No,Public,"City of Helena - West Helena, AR",,,,Open,37,,,,,,,,,Unknown,Not used,No,,No,,,,No,,,,,,Unknown
,11541,City of Hope Landfill,AR,,3759 Highway 67 West,Hope,Hempstead,71801,33.6422,-93.6781,No,Public,"City of Hope, AR",,,,Open,82.5,,,,"1,110,000",,,,,Unknown,Not used,No,,No,,,,No,,,,,,Unknown
1011631,11546,City of Morrilton Landfill,AR,Morrilton Sanitary Landfill,51 Dump Road,Morrilton,Conway,72110,35.1297,-92.6976,No,Public,"City of Morrilton, AR",,1994,2044,Open,30,,,,"1,367,651","1,056,797",2022,"71,432",2022,Yes,Several times per year,No,,No,,,,No,,,,,,No
